company_id,company_name,num_laid_off,pct_laid_off,industry,office,country_code,country,region,continent,date_announced,year,quarter,month,weekday,week,stage,mn_raised_dollar,source
1985,RealPage,260,0.04,Real Estate,Dallas,USA,United States,Northern America,North America,2024-06-27,2024,Q2,6,Thursday,26,Acquired,105,https://www.bisnow.com/national/news/multifamily/realpage-to-lay-off-4-of-its-workforce-price-fixing-allegations-124885
1911,Priceline,103,0.07,Travel,Norwalk,USA,United States,Northern America,North America,2024-06-28,2024,Q2,6,Friday,26,Acquired,77,https://www.travelweekly.com/Travel-News/Travel-Agent-Issues/Priceline-chops-more-than-100-jobs
489,Cint,NA,NA,Data,Stockholm,SWE,Sweden,Northern Europe,Europe,2024-07-01,2024,Q3,7,Monday,27,Post-IPO,17,https://investors.cint.com/en/press/organizational-changes-cint-group-2248206
2566,Upside Foods,26,NA,Food,SF Bay Area,USA,United States,Northern America,North America,2024-07-01,2024,Q3,7,Monday,27,Unknown,598,https://www.wired.com/story/leading-lab-grown-meat-company-cuts-dozens-of-jobs-upside-foods-cultivated-chicken/
1661,Ninja Van,NA,0.05,Transportation,Singapore,SGP,Singapore,South-eastern Asia,Asia,2024-07-01,2024,Q3,7,Monday,27,Series E,974,https://www.theedgesingapore.com/news/company-news/second-round-layoffs-ninja-van-less-three-months-5-singapore-staff-affected
1411,Lightricks,70,0.12,Consumer,Jerusalem,ISR,Israel,Western Asia,Asia,2024-07-01,2024,Q3,7,Monday,27,Series D,335,https://www.calcalistech.com/ctechnews/article/b1dj8mgda
2172,Sightful,20,0.33,Hardware,Tel Aviv,ISR,Israel,Western Asia,Asia,2024-07-01,2024,Q3,7,Monday,27,Unknown,61,https://www.calcalistech.com/ctechnews/article/rkeyfjlv0
1345,Koo,NA,1,Consumer,Bengaluru,IND,India,Southern Asia,Asia,2024-07-02,2024,Q3,7,Tuesday,27,Unknown,51,https://techcrunch.com/2024/07/02/indian-social-network-koo-to-shut-down/
2548,Unacademy,250,NA,Education,Bengaluru,IND,India,Southern Asia,Asia,2024-07-02,2024,Q3,7,Tuesday,27,Series H,838,https://techcrunch.com/2024/07/02/indian-edtech-unacademy-cuts-another-250-jobs/
1547,Microsoft,NA,NA,Other,Seattle,USA,United States,Northern America,North America,2024-07-03,2024,Q3,7,Wednesday,27,Post-IPO,1,https://www.geekwire.com/2024/microsoft-lays-off-employees-in-new-round-of-cuts/
2544,UKG,2200,0.14,HR,Boston,USA,United States,Northern America,North America,2024-07-03,2024,Q3,7,Wednesday,27,Unknown,NA,https://www.bizjournals.com/boston/news/2024/07/03/ukg-cuts-14-of-its-workforce.html
1737,OpenText,1200,0.02,Data,Waterloo,CAN,Canada,Northern America,North America,2024-07-03,2024,Q3,7,Wednesday,27,Post-IPO,1100,https://www.marketwatch.com/story/open-text-to-cut-1-200-jobs-as-part-of-cost-saving-plan-cef1f9a0
2543,UIPath,420,0.1,Other,New York City,USA,United States,Northern America,North America,2024-07-09,2024,Q3,7,Tuesday,28,Post-IPO,2000,https://www.cnbc.com/2024/07/09/uipath-layoffs-company-to-cut-10percent-of-workforce.html
1236,Intuit,1800,0.1,Finance,SF Bay Area,USA,United States,Northern America,North America,2024-07-10,2024,Q3,7,Wednesday,28,Post-IPO,18,https://www.bloomberg.com/news/articles/2024-07-10/intuit-to-cull-10-of-employees-in-latest-round-of-tech-layoffs
642,CyberProof,NA,0.07,Security,Los Angeles,USA,United States,Northern America,North America,2024-07-10,2024,Q3,7,Wednesday,28,Subsidiary,NA,https://www.calcalistech.com/ctechnews/article/h1nrv0odr
1997,Redbox,1000,1,Media,Chicago,USA,United States,Northern America,North America,2024-07-10,2024,Q3,7,Wednesday,28,Acquired,51,https://www.wsj.com/articles/redbox-owner-to-shut-down-kiosk-business-in-bankruptcy-f0cada8d
1598,MoxiWorks,NA,NA,Real Estate,Seattle,USA,United States,Northern America,North America,2024-07-11,2024,Q3,7,Thursday,28,Private Equity,NA,https://www.inman.com/2024/07/11/moxiworks-laying-off-employees-1-month-after-replacing-ceo/
2076,SadaPay,NA,0.3,Finance,Islamabad,PAK,Pakistan,Southern Asia,Asia,2024-07-12,2024,Q3,7,Friday,28,Acquired,20,https://www.crowdfundinsider.com/2024/07/227287-fintech-sadapay-has-reportedly-announced-layoffs-while-citing-cost-cutting-measures-after-acquisition-equity-injection/
2082,Salesforce,300,NA,Sales,SF Bay Area,USA,United States,Northern America,North America,2024-07-15,2024,Q3,7,Monday,29,Post-IPO,65,https://www.bloomberg.com/news/articles/2024-07-15/salesforce-cuts-about-300-jobs-in-latest-sign-of-tech-austerity
2260,Spotify,40,NA,Media,Stockholm,SWE,Sweden,Northern Europe,Europe,2024-07-15,2024,Q3,7,Monday,29,Post-IPO,2100,https://adage.com/article/digital-marketing-ad-tech-news/spotify-focus-smaller-clients-programmatic-ad-tech-includes-40-layoffs/2569771
